HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",29NXX2Q45UUKUL9DY7N1US8OPAMSAC,AXPLF02A6NNMR,Approved,"Tue Jun 12 23:38:46 PDT 2012","Tue Jun 12 23:40:33 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,false,false,false,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",23VDHJHP4BDDODFVJGJXGX3GCFS4XL,A30JJ6BYT6ZAOO,Approved,"Tue Jun 12 23:40:33 PDT 2012","Tue Jun 12 23:41:47 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",21ALKH1Q6SVQCEJ5XFL6S5OB4M31KG,A3LPO39D3K084H,Approved,"Tue Jun 12 23:39:08 PDT 2012","Tue Jun 12 23:42:15 PDT 2012",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2QXR98D8J3VEBT3P4CPCN3MCTIUWG6,A1CR0WA81XE9FW,Approved,"Tue Jun 12 23:40:04 PDT 2012","Tue Jun 12 23:42:22 PDT 2012",false,false,true,false,true,true,true,false,false,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2YV3FDEY5COW4IROASZCYFLCF592T5,APMEOBFFLFRLX,Approved,"Tue Jun 12 23:41:28 PDT 2012","Tue Jun 12 23:42:32 PDT 2012",true,false,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",25J14IXKO2L96EP97ZXXAYOCLPLCBX,A1V7I0OR57A3ON,Approved,"Tue Jun 12 23:40:31 PDT 2012","Tue Jun 12 23:42:43 PDT 2012",true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,false,true,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2O3DPGFL6VCP0WKOY2NIVV1SG295K3,A3K1IGMEAN3APD,Approved,"Tue Jun 12 23:42:44 PDT 2012","Tue Jun 12 23:44:29 PDT 2012",true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2AYUFBNFSVGUPCE6GHN6UG1F1D95J4,AYJ94IXY9F0HR,Approved,"Tue Jun 12 23:42:15 PDT 2012","Tue Jun 12 23:44:48 PDT 2012",true,true,true,true,false,false,true,false,true,true,true,false,false,true,false,true,true,false,true,true,true,false,true,true,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2CWSMEZZ2MIKQKKRJE0YA8TW5745M8,A3NR6ZNMKU2UT,Approved,"Tue Jun 12 23:44:37 PDT 2012","Tue Jun 12 23:46:17 PDT 2012",true,false,false,true,false,true,true,false,true,true,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2TOKUDD8XMB3U0KWB0XU0O6TDOHDO3,A39NSUXZGMM4FE,Approved,"Tue Jun 12 23:41:31 PDT 2012","Tue Jun 12 23:46:32 PDT 2012",true,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,false,false,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",20M8Y1THV8ERDVJQY99M6SM5TP30NI,A11J5NDVR49DET,Approved,"Tue Jun 12 23:46:48 PDT 2012","Tue Jun 12 23:47:31 PDT 2012",true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2YI1SNQQ7Q6742CNV1ER82TQLBI9T3,A16AK06D5FHLOF,Approved,"Tue Jun 12 23:47:17 PDT 2012","Tue Jun 12 23:49:17 PDT 2012",true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",20SONNVRH1KHS6PD20Y6UV9LT6SXOO,A1LXFEG4DSMTBU,Approved,"Tue Jun 12 23:44:56 PDT 2012","Tue Jun 12 23:50:09 PDT 2012",true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,true,true,false,true,true,true,false,true,true,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",291O9Z6KW4ZMEWSE2GCFX0ONW5DE5S,A30HNSMQRR925K,Approved,"Tue Jun 12 23:51:12 PDT 2012","Tue Jun 12 23:53:03 PDT 2012",true,false,false,false,false,true,true,true,false,true,true,false,true,false,false,true,true,false,false,true,true,true,true,true,true,false,true,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2598MZ9O9Z6K01AJLO8HYRLFZA9A1A,A8B4AE3QMECV,Approved,"Tue Jun 12 23:50:55 PDT 2012","Tue Jun 12 23:53:15 PDT 2012",true,false,false,true,false,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,true,false,false,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2FKW6NG1FS3N2KU894SF6SZLB7CKYX,ANCUPH2C4H11X,Approved,"Tue Jun 12 23:53:42 PDT 2012","Tue Jun 12 23:56:31 PDT 2012",true,false,false,false,true,true,true,false,false,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2Z7E4EGDHDM29IJFKCQWDHEZFY0BLD,AYMA9R47TWK1H,Approved,"Tue Jun 12 23:54:26 PDT 2012","Tue Jun 12 23:56:36 PDT 2012",true,false,true,true,false,true,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,
20BUHYW2GTP9V7IPGLD1D9YSVLBMRF,"Determine if a statement is true or false. BONUS for correct answers!"," ",2D5HJHP4BDDKK1952HO943G3EHHY5Q,A3P08N6X9HDJ2V,Approved,"Tue Jun 12 23:52:20 PDT 2012","Tue Jun 12 23:58:50 PDT 2012",true,false,true,true,false,true,true,false,false,true,true,true,false,true,false,true,true,false,true,true,true,true,false,false,false,false,true,true,
